"","pmv2","pms1","pms2","pmf6","pmv1","pev4","psv1","psf9","pff16","pfv7","psv16","pff3","pff31","psv4","pff2","pss19","psv24","pfs4","pff10","pfs3","pff9","pfs10","pff4","psv23","pfv26","pfs27","pfs14","pff13","pfs11","pfs15","pfv16","pfs22","pff32","pfs13","pmf3","pfv18","pss1","pff12","pfs28","pfv10","pss7","pff29","pss15","psf4","pmv3","pff30","pff15","pff28","pfv9","pev1","pss16","pfs1","pss11","pfv12","psf2","psv19","pfv22","pfv11","psf7","pfv21","pfv3","psv26","pfs23","pff6","pfv14","pfv15","pev3","pfv24","psv7","psf8","pef1","psf13","pev9","pfs7","pff7","pss14","pff11","pfs17","pfs30","psf11","psf12","psv20","pfs20","pss21","pev6","pff26","psv10","psv22","psf18","psv13","psf16","pss13","psv2","pmf2","psv8","pss4","pss10","psv3","pss2","pfs24","pff5","pff25","psv25","pff8","pfv17","psv12","pss22","pfv25","psv9","pmf5","pes3","pff33","psv5","pfv1","pfs16","pes2","psv14","psv15","pfv2","pev7","pfv8","pfv5","psf17","pss24","pfs19","pss6","pss3","pss5","pss18","psv17","psv18","pss17","pfs5","pss8","pfs8","pev5","pev8","pfv20","pss12","pcv2","pff27","pcs1","pev2","psv11","psv6","pfv4","pfv23","pfs21","pfv6","psf6","pmf1","psf14","pfs26","psf15","pfv13","pcv3","pfs9","pcf1","pfs6","pes1","psf10","pss23","pcv1","pfs12","pss20","psf5","pfs25","pfs18","pcs2","pfs29","psv28","psv21","pss9","psf3","psv27","pff1","pff14"
"denovo1125",0,0,0,0,0,0,0.0235636814813137,0,0.15011732500816,0,0,0.0301923339319584,0,0,0.0553001263609331,0,0,0.0638550856814101,0.0376889180722205,0.90711980719499,0,0,0.879187716247463,0,0.0332871332649303,0.018399022669873,0,0.922885638825751,0,0,0.0193238969872078,0,0.0227507877596645,0,0.308957190326662,0,0,0.894562946816285,0.916654564737619,0.0222828258910793,0,0.0175492619155015,0.0228754505435839,0.0481013891400758,0.0833181084618564,0,0,0,0,0.0338513354333148,0,0.0327209995501844,0.0352453688425121,0,0,0,0,0,0,0.0154432097043282,0.0344010458076891,0,0,0.161708640462904,0.0227861975674888,0.0374502943136569,0.0623176952849756,0.0192700048203923,0,0,0,0,0.0253103731776277,0.17654696590095,0.0962250448649376,0,0,0.801433760523946,0,0,0.0256326007925508,0,0.874273765158631,0,0.098058067569092,0,0,0.047836487323494,0,0,0,0,0,0,0,0,0,0,0.0617802063215215,0.0480902635728771,0.894046015959805,0.0486025176756251,0,0.0419960525565808,0.307862171216055,0,0,0.0440795324538175,0.0308606699924184,0.491634524584254,0.01886121115875,0.0256073759865792,0,0,0.106298800690547,0,0,0,0,0,0,0.528190786786722,0,0,0.680217279649005,0,0,0,0,0,0,0.903225512555205,0,0,0,0,0,0.725713037229446,0.02831827358943,0,0,0,0.0404888165089458,0,0,0,0,0.381284091225421,0.0199521721116906,0,0,0,0,0,0,0.0239800568855584,0,0.363581876366133,0.0204209250153383,0.370479286817474,0,0,0.018045133184627,0,0,0,0.0560772154092044,0.0285190945787503,0,0.0412276207642525,0,0,0,0.0281271975231506,0,0.0777087340200261,0.851578984167263
"denovo3013",0.0175546691755021,0,0,0.0219106552227442,0,0,0,0,0.22517598751224,0.32920264919416,0,0.243418378182149,0.228187260602343,0,0.287347885566345,0.182291781666262,0.230146591834961,0,0.313067666226271,0.0802572353905128,0.25661967683049,0.238001849098472,0.0378167116830242,0.0677803858386852,0.141225345947355,0.0973584767022471,0.298709593267277,0,0.212431255471269,0.226626381112866,0.216910205710334,0.120510669970603,0.204757089836981,0.189422478849164,0,0.160910634609093,0,0.140473654475493,0.051598515635253,0.137360563948689,0,0.297303350829648,0,0.170742993498366,0,0.211086727721066,0.22382211488966,0.194720704850967,0.161069538480791,0.0195440776248526,0.0155099353570506,0.196325997301107,0.194648911524735,0.279954381521251,0.190452199520686,0.159597047354259,0.156404131065185,0.0379868588198793,0.191805363999193,0.161231842794569,0.210662522117372,0.192897128868165,0.140605653074447,0.127400308450676,0.216168850583558,0.192179984207671,0,0.110697749889833,0.195047374401373,0.229577617273421,0.193705485231384,0.0259937622455018,0.282978574805314,0.124837556786472,0.146986183948033,0.168338571514079,0.261574181890298,0.301055544854456,0.164495664165995,0,0,0.138515315792633,0.133845288758781,0.143554637872174,0,0.15269238346356,0.150268576759382,0,0,0,0,0.188533879439963,0.0494468176434149,0,0.0193347297809133,0.0264258211290845,0,0.0211524772323451,0,0.247092248145165,0.0899746685934211,0.220949988997047,0.119558449101843,0.0242464322484436,0.2053501270971,0,0.232000781477633,0.193816322427649,0,0.256933201292963,0,0.140257374663655,0,0.153998100701804,0.206469578140421,0,0,0,0.218217890235992,0,0.220114648115809,0.315654369777167,0.104059455746536,0.156173761888606,0.26532454072957,0,0,0,0,0.148223594197021,0.0291172950590494,0,0.173858276339923,0,0,0,0,0.232083809108886,0.230058742193517,0.230755576997023,0.171010282302344,0,0.121466449526837,0.154841932227753,0.208514414057075,0.295163026345124,0.122313653862763,0.262983264867871,0.163315567299302,0.136407002126019,0,0.2084623310254,0.172175110787545,0,0.207950097964015,0.131344180864774,0.131854863721171,0,0.130757719916511,0.140028008402801,0,0,0.0255196720845284,0.308130675115249,0,0.252558920314553,0.202189275543126,0.161328361359479,0.0698430295769578,0.20056577199309,0.181119388261535,0.291893462965468,0.136115934180339,0.18444236861896,0.249345453422273,0.21422819563905,0.210452579346707
"denovo3982",0,0,0,0,0.63323178949925,0.0347454092041609,0.0235636814813137,0.0180216750880222,0,0,0,0,0.0365392047620935,0.415508009400824,0.0319275428407051,0.829330934592846,0.0564872593233052,0,0,0,0.0698430295769578,0,0,0.0553424532912486,0,0,0,0.0347209664229407,0,0.0388661037168236,0,0,0,0.0189422478849164,0.483045891539648,0,0,0.0174236124496439,0,0.507637791254974,0.625338541998143,0,0,0.0215115951858759,0,0,0,0,0,0,0.021934360933471,0,0.0249222393139613,0,0.0388758924347012,0.274581142600189,0,0,0.057831493196624,0.0154432097043282,0,0,0,0,0,0,0,0,0.18552705963032,0.0433860915637312,0.0295398095633696,0,0,0,0,0.119033345452862,0.0324442842261525,0,0,0,0.0256326007925508,0.0391780476380667,0,0.0600532135656114,0,0,0,0.490178130420293,0.797296239363099,0.0265840888675675,0.895262323946556,0.0628446264799876,0.0988936352868297,0.88098601784385,0.975973034712528,0,0.0654653670707977,0.313741939297686,0,0.0745011159729912,0,0,0.0345135513864215,0,0,0.0537992193789902,0.0376354964747491,0.0254493299279644,0.832952293837723,0,0,0.0362142984170074,0,0,0,0,0,0.266490664887476,0,0,0,0.0245736593591495,0,0,0,0,0.0271312734545191,0.0524382575266281,0.118652056883678,0.0266217434032501,0.909420341867625,0,0,0.327149854083762,0,0,0.0184052543458078,0,0.181325423982733,0.234191332898307,0,0.959209698980419,0,0,0.07825406515973,0.0435194139889245,0.0198418947533136,0,0,0.0436852028330519,0.163626897891272,0.0316069770620507,0,0.0431230818235434,0,0.0239800568855584,0,0.0453298413911625,0,0.140028008402801,0,0.572901714318439,0.0988372649840527,0,0.0323846830763388,0.0453609211626514,0,0,0.790183677319672,0,0.0796819072889596,0.53613799174125,0,0.0628943256783284,0.611244622372131,0,0.0231001716349129
"denovo4200",0.039253433598943,0,0,0,0.0678635775064972,0.0347454092041609,0,0,0,0,0,0.0301923339319584,0,0,0,0,0,0,0,0,0.0493864798324795,0,0,0,0,0,0,0,0.818583921140614,0,0,0,0.0227507877596645,0.0189422478849164,0,0,0,0,0,0,0,0.0175492619155015,0,0,0,0,0,0,0.0343401409871723,0,0,0,0,0,0,0,0,0,0,0.0154432097043282,0,0,0,0,0,0,0,0,0,0,0,0,0.0506207463552554,0,0,0,0.0324442842261525,0,0,0,0,0,0.0214323989844524,0,0,0,0,0,0,0,0,0.0397464316758582,0.0494468176434149,0,0,0,0,0,0,0.649485671414545,0,0,0,0.818833284781295,0,0,0,0,0,0,0.0377224223175,0,0,0,0,0.0356235249939548,0,0,0,0.781670758255627,0,0,0,0,0.0245292624676769,0.0158015154379992,0,0,0,0,0,0,0,0,0,0.879577558224402,0,0,0,0,0,0,0,0,0.0174981409212854,0,0,0,0.0822649130770031,0,0,0,0.0181488502160157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"denovo4428",0,0,0.115680573709763,0,0,0,0,0,0.45810386914932,0.0701862406343596,0,0.229937964762271,0.648506551750675,0,0.146310381821476,0,0,0,0.21650635094611,0,0,0,0.236921019622134,0,0.141225345947355,0.0367980453397459,0.0329869562377021,0.0694419328458815,0,0,0,0.257662650560332,0,0.23810036387942,0,0.110663119882684,0,0.0301785820141728,0.205100043122938,0.115784959738682,0,0,0,0,0,0,0,0,0,0.0338513354333148,0.0346812697849927,0,0,0,0,0,0.0795389498181209,0,0,0.0845859431534326,0,0,0.247924526443765,0.789927574267361,0,0.0305780372618379,0,0.0472016791509334,0,0,0,0,0.0253103731776277,0.846689504412991,0.878410461157883,0.0233443596627835,0.186378223259219,0.0245810823042997,0.062622429108515,0,0,0,0.238661094551177,0,0,0,0.0491869376837965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258638564633093,0,0,0.269996842797314,0,0,0,0.0844058785370203,0,0,0.156672986694809,0.0443532762572744,0,0,0.218553868710909,0.379798682089722,0,0,0.21110789792555,0.39024809798595,0,0.0347524023428458,0,0,0.313168658880377,0,0,0,0,0,0,0,0.425864064592606,0,0.737209780774486,0,0,0,0.02831827358943,0,0,0,0,0,0,0,0,0.127402805883824,0,0,0.159483772302528,0,0.145190801728126,0,0.207950097964015,0,0,0.0261711961295107,0,0,0,0,0,0,0,0,0,0.108597476748218,0,0.0629762309583733,0,0,0,0,0,0.366139278164052,0
"denovo4796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225761820492865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904111650318369,0,0,0,0,0,0,0,0,0,0,0.024325212770526,0,0,0,0,0,0,0,0,0,0,0,0.202482985421021,0,0,0,0,0,0,0,0,0,0,0,0.098058067569092,0,0,0,0,0,0,0,0,0.0337099931231621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980057280577202,0,0,0,0,0.500845309141119,0.16311193882471,0,0,0.0957826285221151,0,0,0,0,0,0,0,0,0,0,0,0.0225876975726313,0,0,0,0,0.913798172613079,0,0,0,0,0,0,0,0,0,0.0280606766633157,0,0,0,0,0,0,0,0.0519875244910036,0,0,0,0,0.140028008402801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241051348200948,0,0
"denovo6120",0,0,0,0,0.017522300366448,0,0,0,0.30947479362191,0.313882410287172,0,0.275065252886452,0.338850645092455,0,0.345349178435206,0.100231571132168,0.257621539646539,0,0.330718913883074,0,0.382546027838003,0.358525180441895,0,0,0.156130494465172,0.110394136019238,0.321517078510096,0,0.0826192384772028,0.289110870895039,0.275323151839362,0.132796290504608,0.206017145359785,0.249146371844979,0,0.22290153537304,0,0.0460985454821266,0.0399680383488716,0.162221421130763,0,0.154990884618264,0,0.212953927621018,0,0.0960717957712442,0.207052905286713,0.216461852671887,0.203159013843,0.0195440776248526,0,0.19079457432838,0.153631001012327,0.323263475064219,0.241740123177044,0.148004213017096,0.21243501996048,0.0759737176397586,0.257333899410772,0.210617299932284,0.240807320653824,0.191797990981681,0.200645973331006,0.169867077934234,0.254757433548226,0.261258864889602,0,0.175558098985975,0.255376959227625,0.274397736228014,0.277107976636423,0,0.255622238899238,0.134839972492648,0.207869854820775,0.232273445917682,0.282842712474619,0.088628352654553,0.200978000942255,0,0,0.166218378951159,0.0371220039691591,0.120106427131223,0,0.193142285241872,0.212511859251621,0,0,0,0,0.206528517246454,0,0,0,0,0,0,0,0.177348129189229,0,0.329638312886768,0.17598527200275,0.0242464322484436,0.17585134284138,0,0.293942624144495,0.17631812981527,0,0.064741081350179,0,0.188175014456154,0,0.205651380055124,0.278487366227686,0,0.0302891266407691,0,0.236993789298488,0,0.252443320085833,0.198119175572352,0.104059455746536,0.156173761888606,0.127457786598626,0,0,0,0.0296630142209196,0.170462330428069,0,0,0.161333652531413,0,0,0,0,0.090338500174126,0.347980771712974,0.213993918677837,0.159965471497716,0,0.0701286873318277,0.22237479499833,0.0974255254373107,0.358870281282637,0.19642473664321,0.252020767366882,0.213963208933382,0.20950687284906,0.0517433683804222,0.198646770576668,0.175021173196827,0,0.289454286172763,0.160863111901262,0.0567412990342826,0,0.129153269951956,0,0,0,0,0.384662806523538,0,0.371295141773397,0.285938815639479,0.17464307411028,0.0698430295769578,0.174913981287541,0.254067440948785,0.107977742267155,0.136115934180339,0.262353032999527,0.107801440129058,0.266938267483969,0.136662458395439
"denovo10100",0.134839972492648,0,0,0.651450613680216,0.581148957794149,0.986630956266414,0.914440872850138,0.921046892953427,0,0,0.823445613299796,0,0,0.802038484506339,0,0.0393140566985376,0.0357256796484452,0,0.0533001790889026,0.0567504353839166,0,0.0330049180992225,0,0,0.0235375576578925,0.018399022669873,0,0,0,0,0,0.0322078313200415,0.0321744726043893,0,0.0870388279778489,0,0.88274084430321,0,0,0,0.0460449925915531,0,0.88714288663564,0.0215115951858759,0.0604453088931668,0,0.0219475640653074,0,0,0,0,0,0.108633522616294,0,0,0.0225704308883094,0.0290435180104375,0,0,0.0154432097043282,0,0,0,0,0,0,0.116585732444878,0.0272519021639937,0,0,0,0.868362858518289,0,0,0,0.0233443596627835,0.0324442842261525,0.0245810823042997,0.0198029508595335,0.847842299662474,0.797499376953855,0.0277030631585265,0,0.0393140566985376,0.098058067569092,0,0,0.748759462220977,0.0240284665666106,0.843180919853053,0,0.0281049713659671,0.915767878256256,0,0,0.937651291330673,0.0487950036474267,0.833847715966662,0.910777985812241,0.0680099029628596,0,0,0.024404766228169,0,0.0283410100632568,0.926963828430497,0.0651865920623448,0.0254493299279644,0,0,0.026673780623487,0.0443532762572744,0.86159019396559,0,0,0.0290864863581575,0.887734979875983,0.850651776755627,0,0,0,0,0,0.0216574040912105,0.0245292624676769,0.871951618765723,0.879990631328321,0.917294871261833,0.533109646594924,0,0,0,0.0289763793899872,0.01898315991505,0,0.0436124374238634,0,0.0329869562377021,0.02831827358943,0,0,0,0,0,0,0,0,0,0,0,0,0.0223495078133837,0.0181488502160157,0.0215615409117717,0,0,0,0.0261711961295107,0,0.342997170285018,0.664625171585486,0,0.10976425998969,0,0,0,0.0793051585718144,0,0.120971675781827,0,0.0325300024316178,0,0.022080920281276,0,0,0,0.0231001716349129
"denovo10122",0.218553868710909,0.210351580955836,0.277939936447618,0.210159622027346,0.10801471374316,0.0802410854285039,0.310826306450706,0.284947702648328,0.15011732500816,0.232781425629767,0.499762526702349,0.206988213017475,0.115547110939486,0.302528777055073,0.196814592167634,0.15725622679415,0.263741669357937,0.10096375546923,0.192176528696452,0.204616604681617,0.241943351563654,0.341405527495958,0.230030076844591,0.0677803858386852,0.242333988067818,0.258242589314157,0.255515864301386,0.191752804503509,0.268424242120674,0.263602740565869,0.256360463176189,0.241021339941205,0.177689332726541,0.331894995088238,0.318614424524615,0.247450258659891,0.396220905207727,0.286299167156934,0.194438105277264,0.168231646227613,0.17022122375799,0.184058211758335,0.3942283761462,0.27715751614417,0.109804356524357,0.114232278132242,0.156736957953251,0.214315070503988,0.259262378937006,0.236959348033203,0.232649030355759,0.170023301086073,0.188158780576604,0.314155628743331,0.329108405497747,0.274581142600189,0.225905553881634,0.107443061870051,0.258630300055936,0.25563060637625,0.200590843237005,0.222421803728376,0.245740126802523,0.120114162707641,0.319006765944843,0.233877013028218,0.22468964571872,0.26067979341975,0.381485780817822,0.294258789663313,0.36538726497121,0.382912028567426,0.184262298071828,0.17654696590095,0.0785674201318386,0.296206717713371,0.207744782694637,0.28134334637565,0.213284308092347,0.436397998730974,0.229264951249034,0.256907638888797,0.209993765902611,0.263726709747633,0.169841555121689,0.235652297011723,0.410546449377868,0.257607368031416,0.272910918643816,0.448003028763109,0.285897719190611,0.290720084370785,0.237138606781785,0.288018307498925,0.169661565267364,0.254841390041359,0.307059789431495,0.357094915286524,0.241917698872963,0.160940804787656,0.167693188707788,0.2792002075671,0.250074437994801,0.204304069590559,0.363494861113916,0.262874018568221,0.258015964545491,0.146195270083606,0.297609523657138,0.182159207692771,0.266070126073214,0.153644255919475,0.392792202424786,0.281862804066456,0.198866846404498,0.222468842283143,0.288144968610906,0.235928353742843,0.27179141610907,0.148385810048849,0.174798006515016,0.173762011714229,0.209415615075797,0.263473692219085,0.206687239378199,0.374265823135163,0.361976336062143,0.253300848577357,0.237304113767357,0.337792055434089,0.247924833745616,0.232554579944282,0.18326271443504,0.23094010767585,0.246717581897584,0.327093280678976,0.313430187417906,0.147522153036625,0.288790859247525,0.178742501350791,0.244351293905862,0.224419704915175,0.268572425131441,0.333749324177011,0.260128565886096,0.144337567297406,0.272058354092456,0.210855701912313,0.270644430283189,0.243228915516867,0.0896221429896442,0.252855816496406,0.261116483933547,0.283597792732544,0.270135101334449,0.166138707576716,0.206151376935717,0.301820957540988,0.136987729493167,0.280056016805602,0.134110445196455,0.199597548297943,0.193512494790018,0.179050792206818,0.184621098966327,0.283278861866266,0.217186121381535,0.195517061948082,0.17107978455366,0.218156063378189,0.262265264156481,0.103741659127686,0.226262102989314,0.351308584465264,0.223541824104048,0.187147414060072,0.164968222417786
"denovo10202",0,0,0,0,0,0,0,0,0.0992932773634624,0.156941205143586,0,0.135024222142465,0.10961761428628,0,0.19156525704423,0.048149689315132,0.128810769823269,0,0.159900537266708,0,0.156173761888606,0.136082763487954,0,0.0391330240097416,0.0407682457495518,0.0520402947882888,0.171405252572253,0,0.0435441620227637,0.118737908166899,0.128180231588095,0.0557856002479201,0.106710653456328,0.118294300126469,0,0.0916377692644974,0,0.0246407090318191,0,0.0630253491663254,0,0.0554956389078343,0,0.0745183516275823,0,0.0472004272332292,0.0877902562612294,0.078518966584133,0.108593060690767,0,0,0.0654419991003689,0.0431665847301716,0.147548914425151,0.130875755875833,0.0677112926649283,0.0711417994609051,0.0537215309350254,0.121308363535022,0.0724350741794393,0.097300851082104,0.0919600979743406,0.0734289075039593,0.0600570813538204,0.126868178780668,0.105925428266475,0,0.079452265280639,0.139009609371383,0.118817705157201,0.097972464700249,0,0.110325358904582,0.080582296402538,0.0555555555555556,0.125713224101112,0.1555973210431,0.0650354307339875,0.0840168050416806,0,0,0.0918806660403505,0,0.0320997928767547,0,0.0965711426209361,0.0898026510133875,0,0,0,0,0.0794928633517164,0,0,0,0,0,0,0,0.064519859042901,0,0.134574277707415,0.069027102772843,0,0.0981761387347632,0,0.124822820605486,0.10493027539419,0,0.0264304357839925,0,0.0849300580130401,0,0.112464311423107,0.10135192974011,0,0,0,0.125988157669742,0,0.0809157539158878,0.0851256530758749,0.0569957112340884,0.0530495891767306,0.0490585249353538,0,0,0,0,0.0922204243209815,0,0,0.0869291381699617,0,0,0,0,0.0404006054749444,0.144395429623763,0.0979012999747256,0.053321823832572,0,0.0572598334313868,0.0999500374687773,0.0428615167044632,0.144337567297406,0.103101509493521,0.0920249728310687,0.0997608605584528,0.0577900913348348,0,0.0741249316661101,0.0573917035958485,0.0215615409117717,0,0.0587389033725325,0.0567412990342826,0,0.0540286891324829,0,0,0,0,0.172026436760496,0,0.128300059819917,0.12539246564388,0.0727097098835229,0,0.0789448834159867,0.112687233963802,0.0560268993690959,0.038245275805048,0.105242336381746,0.107801440129058,0.115260679134687,0.0611173093888878
"denovo10325",0.0526640075265064,0.162937633978071,0,0,0.0840340004583653,0.0283695078181321,0,0,0.70909583372662,0.742781352708207,0.0533760512683624,0.814633706995034,0.586906533477621,0.0394976252766682,0.808340820924368,0.428865726582812,0.856299156284907,0.0225761820492865,0.787869682348316,0.0802572353905128,0.687874066750097,0.779642954983178,0.0422803690043763,0.103536249579696,0.809568812424158,0.450306447975924,0.669562083837762,0.0425243255562562,0.282198422998991,0.829042325968786,0.871505611781526,0.362963825455391,0.818396149018786,0.811648245275086,0,0.90793870618657,0,0.140473654475493,0.100584024078844,0.457205361736274,0.0217058176674477,0.633720347067735,0,0.879084964509386,0.0633955747975313,0.72664134099764,0.375040139149165,0.90535466955325,0.846747383861014,0.0437018861267031,0,0.907676045182343,0.92212285461657,0.789995498875678,0.857034897843085,0.867421331110089,0.918666262247514,0.14213381090374,0.872853315110275,0.904318283215318,0.897399266651685,0.797458966582397,0.877058019307029,0.468098623166015,0.848307826336819,0.896984715687872,0.0763232776972177,0.914056586322954,0.775531608229039,0.861735594770297,0.837598161786589,0.0450225168890748,0.792744161488024,0.341881729378914,0.254587538608658,0.874712876207853,0.834139960488772,0.308000078471368,0.922485984802405,0,0.0443969669028283,0.879108597571351,0.140541638768859,0.767715386039563,0.310086836473021,0.917079242259521,0.840986364048864,0,0,0.0265840888675675,0.0432236723073677,0.883855549233885,0.0494468176434149,0,0.0193347297809133,0.0264258211290845,0,0.0366371652723656,0.0356688187503211,0.222466203817317,0.154467624840897,0.839478653361012,0.925774147664332,0.0568629239687954,0.799347123153122,0.0190208964227133,0.866434195595632,0.925670181530168,0.0308606699924184,0.424124089684759,0.01886121115875,0.915441307176624,0.0509647191437626,0.888441367362589,0.854607741230642,0.0205672517447432,0.0370964525122123,0.0758825236114042,0.845515354618835,0.160274993041633,0.914264474093867,0.705396726007998,0.948026759860722,0.912956560330587,0.502101480290816,0.0223467174384664,0.019184707441917,0,0.0296630142209196,0.880934366398653,0.0356612577923664,0.0391230398217976,0.683252949338074,0,0.0932504808240314,0.0218062187119317,0.0368105086916155,0.594680810682608,0.803959727214715,0.843442411295199,0.922901158045833,0,0.252852578055887,0.871057551911043,0.295920414318669,0.701729465267237,0.915526611507253,0.749499950919995,0.334459350780989,0.920245154857209,0.0633724250524478,0.822692638123848,0.908712042265082,0,0.831800391856058,0.946529024272121,0.18121717679127,0.0585205735980653,0.445063742377407,0.198029508595335,0.026822089039291,0.0191179778225468,0.0510393441690567,0.810686941360674,0.0323846830763388,0.790894685335653,0.758598509168854,0.928514448421351,0.156173761888606,0.919724062572459,0.884911737445483,0.755250678545836,0.941486526494639,0.852212310862035,0.660586255568418,0.787124651749203,0.272347006976721
